dia,hora,periodo,estr_solar,estr_eolico,demanda_wh,energia_solar,precio_solar,energia_eolico,precio_eolico,acepta_solar,acepta_eolico,restante_wh,penalizacion
2021-01-02,20,noche,hide,bluffing,758.779981600017,431.48998160001696,17.61,327.29,9.8187,True,True,0.0,0.0
2021-01-02,21,noche,reveal,bluffing,1162.5222843539818,587.8,17.634,355.33,10.6599,True,True,219.39228435398195,1.1
2021-01-02,22,noche,bluffing,hide,811.7110760894109,546.3510760894109,22.3479,265.36,7.9608,True,True,0.0,0.0
2021-01-02,23,noche,bluffing,bluffing,1020.0680211778108,663.97,19.9191,346.76,10.4028,True,True,9.338021177810788,0.05
2021-01-03,0,noche,bluffing,bluffing,1046.7102793432796,693.5802793432796,22.6788,353.13,10.5939,True,True,0.0,0.0
2021-01-03,1,noche,hide,bluffing,684.8544555255271,352.7044555255271,15.2742,332.15,9.9645,True,True,0.0,0.0
2021-01-03,2,noche,hide,bluffing,1469.5846277645587,574.92,17.2476,312.21,9.3663,True,True,582.4546277645587,2.91
2021-01-03,3,noche,hide,bluffing,1275.1328233611146,525.22,15.7566,408.45,12.2535,True,True,341.4628233611145,1.71
2021-01-03,4,noche,bluffing,reveal,1439.498941564189,648.75,19.4625,336.3,10.089,True,True,454.448941564189,2.27
2021-01-03,5,noche,hide,bluffing,557.9309401710595,235.70094017105953,15.9129,322.23,9.6669,True,True,0.0,0.0
2021-01-03,6,dia,hide,reveal,439.1599915244341,439.1599915244341,13.1748,0.0,8.2827,True,False,0.0,0.0
2021-01-03,7,dia,bluffing,bluffing,568.7496940092467,568.7496940092467,17.0625,0.0,9.525,True,False,0.0,0.0
2021-01-03,8,dia,bluffing,bluffing,235.3970008207678,235.3970008207678,7.0619,0.0,7.0619,True,False,0.0,0.0
2021-01-03,9,dia,hide,hide,278.3931449676581,278.3931449676581,8.3518,0.0,7.5039,True,False,0.0,0.0
2021-01-03,10,dia,reveal,reveal,218.09091556421524,218.09091556421524,6.5427,0.0,6.5427,True,False,0.0,0.0
2021-01-03,11,dia,hide,hide,330.13213230530573,330.13213230530573,9.904,0.0,6.9711,True,False,0.0,0.0
2021-01-03,12,dia,reveal,bluffing,572.0741027826374,572.0741027826374,17.1622,0.0,9.8901,True,False,0.0,0.0
2021-01-03,13,dia,hide,bluffing,489.9443222417272,489.9443222417272,14.6983,0.0,8.9724,True,False,0.0,0.0
2021-01-03,14,dia,bluffing,reveal,880.1162564063505,880.1162564063505,26.4035,0.0,8.0031,True,False,0.0,0.0
2021-01-03,15,dia,hide,bluffing,549.7273286855125,549.7273286855125,16.4918,0.0,9.7569,True,False,0.0,0.0
2021-01-03,16,dia,reveal,reveal,496.6541567811665,496.6541567811665,14.8996,0.0,8.262,True,False,0.0,0.0
2021-01-03,17,dia,bluffing,reveal,679.887258210774,412.29725821077403,19.5129,267.59,8.0277,True,True,0.0,0.0
2021-01-03,18,dia,bluffing,reveal,398.64695748233385,398.64695748233385,11.9594,0.0,8.1369,True,False,0.0,0.0
2021-01-03,19,noche,reveal,hide,861.5378865278278,587.8,17.634,252.64,7.5792,True,True,21.09788652782788,0.11
